AreaZone,IntersectionType,CollisionType,Municipality,Latitude,Longitude,RoadCategory,RoadNumber,TrafficRegime,NrOfTrafficLanes,UpstreamTerminalNumber,DistanceToPR,AccidentSituation,StruckWithFixedObject,StruckWithMovingObject,InitialShockPoint
2,1,6,55,,,4,0,2,0,0,0,1,0,1,0
2,1,1,29,,,4,0,2,2,1,0,1,0,0,0
2,1,1,55,,,4,0,2,2,,,1,0,2,1
2,1,7,7,4746982,-56157,3,0,2,4,,,1,0,0,0
1,1,6,241,4795931,-382802,3,765,2,0,27,0,3,2,0,4
1,1,5,8,,,1,86,3,3,12,0,1,0,2,7
2,1,1,65,4628800,161300,3,14,2,0,0,800,1,0,2,1
2,1,3,154,,,4,0,2,2,,,1,0,2,3
2,1,3,88,,,4,0,2,2,,,1,0,2,3
2,1,6,426,4900560,228150,4,,1,1,,,1,0,1,1
1,1,6,520,4549000,551900,4,0,2,0,0,0,1,13,0,1
1,1,4,348,4407164,411293,2,106,3,2,35,400,1,0,2,4
2,1,3,10,,,4,0,2,2,,,1,0,2,3
2,1,4,120,4887280,241246,4,0,3,5,29,0,1,16,2,6
2,1,1,209,,,2,0,2,2,,,1,0,0,1
2,1,4,231,,,4,0,2,4,,,1,0,2,4
2,1,6,318,,,4,0,2,4,,,1,1,0,7
2,1,1,137,,,4,0,1,1,,,1,0,2,7
1,1,6,219,4555537,578590,3,921,2,2,39,460,3,6,0,1
2,3,3,5,,,2,2,3,4,,,1,0,2,3
1,1,7,277,4421655,453422,3,23,2,2,24,300,1,0,0,8
2,1,7,88,,,4,0,2,2,,,1,0,0,0
2,3,3,107,,,4,0,2,2,2,0,1,0,2,8
1,1,7,287,4788400,19300,3,307,2,2,5,500,1,8,0,1
2,1,6,48,,,3,0,2,3,,,1,0,1,2
2,1,3,43,,,4,0,2,2,0,0,1,0,2,8
2,1,6,491,4934964,297967,3,335,2,2,15,900,1,12,0,3
2,1,6,22,,,3,0,3,6,0,1,1,0,1,1
2,2,3,55,4328759,539006,4,0,1,1,,,0,0,2,3
1,1,6,242,0,0,3,52,2,2,0,0,3,13,0,1
2,2,3,48,,,4,0,2,2,,,1,0,2,1
2,3,2,318,4480520,-65359,4,,2,2,,,0,0,2,6
2,1,3,22,4876730,241469,2,186,3,2,22,970,1,0,2,3
2,1,3,238,,,4,0,1,2,,,1,0,2,8
2,2,3,31,4515965,452754,4,0,1,1,,,1,0,2,8
2,1,6,113,,,4,0,2,2,,,4,0,1,2
2,3,1,274,4867213,620447,4,0,2,3,,,1,0,2,3
1,1,3,198,,,2,0,2,2,,,0,6,2,8
2,2,6,76,,,3,0,2,2,,,1,0,1,0
2,2,7,66,,,4,0,2,2,,,1,0,1,3
1,1,1,130,0,0,3,6085,0,2,28,300,1,0,2,1
1,1,3,238,880445,0,3,982,2,0,30,1,1,0,2,8
2,1,6,555,,,4,0,2,2,,,1,13,0,1
2,1,2,52,4546770,326430,3,,2,2,,,1,1,2,4
1,1,1,385,0,0,4,28,2,0,0,0,1,0,2,8
1,1,6,164,4414241,-28849,3,932,0,3,5,900,3,13,0,1
2,3,7,25,,,4,,1,0,,,1,0,0,7
2,1,2,50,,,4,0,3,2,,,1,0,2,4
2,1,6,555,,,4,0,2,2,,,1,0,1,2
2,1,2,202,,,4,0,2,2,,,1,1,2,4
1,1,2,188,0,0,3,137,2,0,35,754,1,0,2,4
2,3,6,213,,,4,0,1,1,,,1,0,2,0
1,1,6,122,4733098,68023,3,37,3,4,12,,1,4,0,3
2,2,7,111,,,4,0,2,1,,,1,0,0,8
2,9,3,129,4358382,393058,6,0,2,2,,,1,0,2,2
2,1,3,1,,,2,5,2,0,,,1,0,2,8
2,1,3,22,,,3,0,2,0,0,1,1,0,2,5
2,2,3,97,,,3,33,2,2,9,500,0,0,2,1
1,3,6,226,4931420,162103,3,12,2,2,15,900,1,0,2,1
2,1,6,7,,,4,0,2,0,,,1,1,0,3
1,1,6,165,0,0,1,62,3,0,58,690,2,3,0,7
2,1,6,482,0,0,4,0,2,1,0,0,1,0,1,2
2,3,3,135,4327128,317135,3,14,2,2,75,730,1,0,2,3
2,1,3,40,,,3,0,2,2,,,1,0,2,3
2,1,6,71,,,2,113,2,2,0,0,1,12,0,2
1,1,1,317,0,0,3,94,2,2,29,900,1,3,2,3
1,1,7,64,,,2,118,3,4,2,600,3,4,0,3
2,1,6,122,0,0,2,122,2,2,5,200,1,0,1,2
2,1,6,71,4893520,251838,4,0,3,0,0,0,1,0,1,1
2,1,1,85,4,0,4,0,2,2,0,0,1,0,2,8
1,1,7,214,4295874,108610,3,618,2,2,21,400,1,10,9,0
2,1,3,66,,,3,0,2,2,,,1,0,2,8
1,1,7,230,0,0,3,104,2,2,30,300,1,0,0,1
2,1,1,329,4826700,414400,3,21,2,2,8,200,1,0,2,3
2,1,6,55,,,4,,2,1,,,1,0,1,1
2,1,3,555,,,4,0,0,0,,,1,0,2,0
1,2,5,326,4833500,-152600,3,175,2,0,0,0,1,0,2,3
2,2,3,59,,,4,0,1,1,,,1,0,2,3
1,1,2,215,,,1,7,1,2,274,800,1,0,2,4
1,1,2,133,0,0,2,202,2,0,7,700,1,3,2,5
2,1,6,21,,,4,0,2,2,,,1,0,1,1
1,2,3,110,4731220,108089,3,80,2,2,12,0,1,0,2,2
1,1,1,70,4378070,173350,1,68,3,2,30,140,1,3,1,3
2,1,6,549,,,3,35,2,2,14,700,1,14,1,2
2,1,3,32,,,2,0,2,2,7,860,1,0,2,3
2,2,6,88,4369677,725623,4,0,1,1,,,1,0,1,3
2,1,7,51,,,4,0,1,1,1,0,1,0,1,0
2,1,7,21,,,4,,2,2,,,1,0,0,9
2,1,6,55,,,4,1,1,1,,,1,0,1,0
2,4,3,117,,,4,0,2,4,,,1,0,2,3
2,2,3,261,4739020,68860,4,,2,5,,,0,0,2,3
2,1,7,313,4727600,-102800,3,752,2,2,10,800,1,0,0,3
